customer_id,signup_date,gender,age_band,region,acquisition_channel,app_installed,push_opt_in,marketing_consent
C0450,2026-01-05,M,20s,Seoul,referral,True,True,True
C0451,2025-12-27,M,20s,Seoul,paid_search,True,False,True
C0452,2026-05-28,M,30s,Gyeonggi,organic,False,False,False
C0453,2026-01-15,M,40s,Seoul,paid_search,True,True,False
C0454,2025-08-09,F,50s,Other,referral,False,False,True
C0455,2025-12-12,M,40s,Busan,referral,False,False,True
C0456,2025-10-08,F,20s,Seoul,sns,True,True,True
C0457,2025-12-21,F,30s,Other,organic,False,False,True
C0458,2025-11-01,F,40s,Seoul,organic,False,False,True
C0459,2025-07-30,F,30s,Seoul,organic,False,False,True
C0460,2025-07-16,F,40s,Daegu,organic,True,True,True
C0461,2026-03-05,M,40s,Seoul,organic,False,False,True
C0462,2026-03-02,M,40s,Other,paid_search,True,True,True
C0463,2025-08-21,F,20s,Seoul,organic,False,False,False
C0464,2025-09-10,F,20s,Seoul,referral,True,True,True
C0465,2026-05-19,M,40s,Seoul,sns,True,True,True
C0466,2026-01-30,M,20s,Seoul,sns,True,True,True
C0467,2025-07-03,F,30s,Other,organic,True,False,True
C0468,2025-08-01,M,40s,Other,sns,False,False,False
C0469,2026-05-03,F,30s,Seoul,organic,True,False,False
C0470,2025-11-30,F,20s,Busan,organic,False,False,True
C0471,2025-08-01,F,40s,Daegu,sns,False,False,True
C0472,2026-03-17,F,30s,Gyeonggi,paid_search,True,True,True
C0473,2025-10-02,F,20s,Gyeonggi,paid_search,False,False,True
C0474,2025-09-17,M,20s,Other,organic,False,False,True
C0475,2026-05-08,F,30s,Gyeonggi,organic,True,True,True
C0476,2026-02-27,F,20s,Other,referral,False,False,True
C0477,2026-01-23,F,20s,Seoul,organic,True,True,True
C0478,2026-05-27,F,20s,Seoul,organic,False,False,True
C0479,2025-12-27,F,20s,Gyeonggi,organic,True,True,False
C0480,2026-01-28,F,20s,Seoul,sns,True,True,True
C0481,2026-01-27,F,30s,Busan,sns,True,True,True
C0482,2025-11-03,F,20s,Gyeonggi,referral,False,False,True
C0483,2025-12-06,M,20s,Busan,organic,False,False,False
C0484,2026-03-28,F,20s,Seoul,paid_search,False,False,True
C0485,2026-04-11,M,20s,Gyeonggi,organic,False,False,True
C0486,2025-10-15,F,30s,Seoul,paid_search,False,False,True
C0487,2025-09-04,F,30s,Busan,organic,False,False,True
C0488,2026-01-03,M,30s,Other,organic,True,False,False
C0489,2026-01-13,F,40s,Gyeonggi,organic,False,False,True
C0490,2025-12-30,F,40s,Other,sns,True,False,True
C0491,2025-11-26,F,30s,Gyeonggi,sns,False,False,True
C0492,2025-07-25,F,20s,Seoul,paid_search,True,True,True
C0493,2026-05-10,F,30s,Seoul,organic,False,False,True
C0494,2025-11-09,M,20s,Daegu,organic,True,True,True
C0495,2026-05-31,F,30s,Seoul,sns,True,True,True
C0496,2026-03-12,F,20s,Seoul,organic,True,True,True
C0497,2025-07-29,F,30s,Other,sns,False,False,True
C0498,2026-02-07,F,20s,Seoul,sns,False,False,True
C0499,2025-11-16,M,40s,Other,sns,True,True,False
C0500,2026-03-13,F,30s,Gyeonggi,organic,True,True,True
C0501,2026-01-15,F,20s,Gyeonggi,sns,False,False,True
C0502,2025-10-19,F,40s,Daegu,paid_search,True,False,True
C0503,2025-09-22,F,40s,Daegu,paid_search,True,True,True
C0504,2025-09-10,F,40s,Gyeonggi,paid_search,True,True,True
C0505,2025-07-24,F,20s,Seoul,paid_search,True,False,True
C0506,2026-05-30,M,20s,Seoul,organic,False,False,True
C0507,2025-09-07,F,20s,Gyeonggi,organic,False,False,True
C0508,2026-03-31,M,30s,Busan,paid_search,False,False,True
C0509,2026-01-20,M,20s,Other,sns,False,False,True
C0510,2025-08-14,M,30s,Gyeonggi,organic,True,True,True
C0511,2025-11-09,F,40s,Seoul,sns,True,False,True
C0512,2025-11-24,F,30s,Seoul,sns,True,True,True
C0513,2025-07-09,F,20s,Other,sns,True,True,False
C0514,2025-09-29,F,30s,Seoul,sns,True,True,True
C0515,2026-02-17,F,30s,Seoul,referral,True,False,True
C0516,2025-12-07,F,20s,Gyeonggi,paid_search,True,False,True
C0517,2025-11-16,M,20s,Other,organic,False,False,True
C0518,2025-11-28,M,20s,Busan,organic,False,False,False
C0519,2025-12-17,M,20s,Gyeonggi,paid_search,False,False,True
C0520,2025-09-02,M,50s,Other,organic,False,False,False
C0521,2026-03-11,F,20s,Other,referral,False,False,True
C0522,2025-09-17,F,20s,Gyeonggi,sns,True,False,True
C0523,2025-12-02,F,20s,Busan,organic,False,False,True
C0524,2025-08-07,M,40s,Seoul,paid_search,False,False,True
C0525,2026-05-03,M,40s,Busan,sns,False,False,True
C0526,2026-01-17,F,30s,Other,paid_search,False,False,True
C0527,2026-01-29,M,40s,Gyeonggi,sns,False,False,True
C0528,2025-11-18,F,30s,Seoul,sns,True,True,True
C0529,2025-09-02,F,30s,Gyeonggi,organic,False,False,True
C0530,2025-10-29,F,20s,Seoul,sns,True,False,True
C0531,2025-12-25,F,20s,Seoul,referral,False,False,True
C0532,2026-04-13,F,30s,Daegu,organic,False,False,True
C0533,2025-09-21,F,20s,Other,paid_search,False,False,True
C0534,2025-12-19,F,20s,Seoul,organic,True,True,True
C0535,2025-07-08,F,20s,Gyeonggi,paid_search,True,False,False
C0536,2026-04-15,F,20s,Busan,paid_search,True,False,True
C0537,2026-01-03,M,20s,Other,sns,False,False,True
C0538,2026-04-29,F,40s,Busan,organic,False,False,True
C0539,2025-07-12,M,40s,Other,paid_search,False,False,False
C0540,2025-12-23,F,30s,Gyeonggi,sns,True,True,True
C0541,2026-01-18,F,20s,Gyeonggi,organic,True,True,True
C0542,2026-02-17,F,30s,Seoul,sns,False,False,False
C0543,2026-04-12,F,20s,Other,organic,True,True,True
C0544,2025-07-15,F,30s,Gyeonggi,organic,False,False,True
C0545,2026-05-11,M,30s,Daegu,organic,True,True,True
C0546,2026-04-16,M,20s,Seoul,organic,False,False,True
C0547,2025-11-20,F,30s,Seoul,paid_search,False,False,True
C0548,2025-10-31,F,30s,Gyeonggi,paid_search,False,False,True
C0549,2025-07-28,F,20s,Seoul,referral,True,True,True
C0550,2025-12-11,F,20s,Seoul,organic,False,False,True
C0551,2025-08-12,M,20s,Busan,organic,False,False,False
C0552,2025-08-05,F,50s,Seoul,organic,False,False,True
C0553,2026-04-05,F,50s,Other,organic,True,True,True
C0554,2025-07-17,F,20s,Daegu,organic,False,False,True
C0555,2025-08-11,M,20s,Gyeonggi,sns,False,False,True
C0556,2026-02-11,F,40s,Seoul,organic,True,True,True
C0557,2026-01-04,M,40s,Seoul,paid_search,True,True,True
C0558,2026-03-30,F,50s,Seoul,organic,True,True,True
C0559,2025-09-20,F,40s,Other,organic,False,False,True
C0560,2026-05-20,F,30s,Seoul,sns,True,False,True
C0561,2026-03-25,F,40s,Gyeonggi,paid_search,True,True,True
C0562,2025-09-13,M,50s,Seoul,paid_search,True,True,True
C0563,2026-04-19,F,50s,Gyeonggi,organic,True,True,True
C0564,2025-12-30,F,40s,Seoul,paid_search,True,False,True
C0565,2025-07-29,F,30s,Gyeonggi,sns,False,False,True
C0566,2025-08-12,F,50s,Gyeonggi,organic,True,True,True
C0567,2026-01-21,M,30s,Seoul,paid_search,True,True,True
C0568,2025-12-31,F,20s,Seoul,paid_search,True,True,True
C0569,2026-01-23,F,30s,Seoul,sns,True,True,True
C0570,2026-01-26,F,40s,Gyeonggi,sns,False,False,False
C0571,2026-02-01,F,30s,Seoul,organic,False,False,True
C0572,2025-08-27,F,20s,Gyeonggi,sns,False,False,True
C0573,2025-10-31,F,30s,Other,organic,False,False,True
C0574,2026-03-26,F,30s,Other,sns,False,False,True
C0575,2025-08-12,F,30s,Seoul,sns,True,True,True
C0576,2025-10-30,F,20s,Seoul,paid_search,True,True,True
C0577,2025-12-24,M,30s,Seoul,sns,True,False,True
C0578,2025-08-22,F,50s,Seoul,referral,True,True,True
C0579,2025-10-08,F,30s,Gyeonggi,organic,True,False,True
C0580,2026-05-22,M,20s,Seoul,sns,False,False,True
C0581,2026-03-25,M,20s,Gyeonggi,referral,True,False,True
C0582,2025-12-07,F,30s,Daegu,organic,True,False,True
C0583,2025-11-03,F,30s,Seoul,organic,True,True,True
C0584,2025-10-31,F,30s,Gyeonggi,organic,True,False,True
C0585,2026-05-04,F,40s,Gyeonggi,organic,False,False,True
C0586,2025-12-24,F,40s,Gyeonggi,organic,False,False,True
C0587,2025-11-22,F,40s,Gyeonggi,organic,True,False,True
C0588,2025-12-20,F,20s,Other,paid_search,True,True,True
C0589,2026-04-04,F,40s,Daegu,organic,True,True,True
C0590,2026-02-07,F,30s,Seoul,paid_search,False,False,True
C0591,2026-04-06,F,20s,Other,organic,False,False,True
C0592,2026-04-08,F,20s,Seoul,referral,True,False,True
C0593,2026-01-27,F,40s,Gyeonggi,paid_search,False,False,True
C0594,2026-01-27,F,30s,Seoul,organic,True,True,True
C0595,2025-08-05,F,30s,Seoul,paid_search,True,True,True
C0596,2026-01-26,M,40s,Other,organic,False,False,True
C0597,2026-05-25,F,20s,Busan,sns,False,False,False
C0598,2026-01-13,F,40s,Seoul,paid_search,False,False,True
C0599,2025-09-18,F,50s,Seoul,organic,False,False,False
C0600,2025-07-26,M,20s,Seoul,sns,True,True,True
